,user_id,moyenne_notes
323,49606,8.0
324,49686,10.0
325,49707,8.0
326,49722,1.0
327,49729,9.0
328,49770,10.0
329,49773,10.0
330,49774,9.0
331,49926,8.0
332,49944,
333,50007,9.0
334,50021,10.0
335,50031,10.0
336,50199,10.0
337,50237,5.0
338,50302,5.0
339,50424,9.0
340,50481,9.0
341,50486,9.0
342,50545,9.0
343,50604,2.0
344,50683,8.0
345,50882,6.0
346,50967,10.0
347,51119,10.0
348,51120,7.0
349,51136,9.0
350,51144,10.0
351,51194,9.0
352,51276,8.0
353,51368,9.0
354,51398,10.0
355,51413,9.0
356,51419,10.0
357,51470,10.0
358,51637,1.0
359,51807,2.0
360,51910,4.0
361,51947,8.0
362,52013,5.0
363,52241,5.0
364,52249,9.0
365,52488,10.0
366,52717,7.0
367,52737,9.0
368,52755,6.0
369,52845,8.0
370,52862,10.0
371,52898,10.0
372,52968,10.0
373,53032,
374,53327,7.0
375,53362,10.0
376,53524,8.0
377,53564,9.0
378,53578,10.0
379,53579,10.0
380,53582,4.0
381,53654,7.0
382,53663,9.0
383,53762,9.0
384,53811,
385,53823,10.0
386,53903,1.0
387,53933,1.0
388,54010,10.0
389,54074,
390,54117,7.0
391,54120,7.0
392,54125,7.0
393,54127,9.0
394,54128,1.0
395,54130,2.0
396,54132,1.0
397,54134,8.0
398,54135,4.0
399,54143,8.0
400,54144,6.0
401,54145,6.0
402,54149,7.0
403,54187,10.0
404,54220,10.0
405,54412,10.0
406,54413,10.0
407,54415,7.0
408,54418,10.0
409,54459,8.0
410,54496,6.0
411,54517,10.0
412,54926,7.0
413,54962,8.0
414,54991,3.0
415,55005,9.0
416,55179,9.0
417,55337,10.0
418,55395,8.0
419,55425,8.0
420,55556,9.0
421,55600,10.0
422,55706,9.0
423,55726,
424,55755,8.0
425,55855,8.0
426,55884,8.0
427,56199,3.0
428,56422,10.0
429,56759,7.0
430,56853,
431,57141,2.0
432,57375,10.0
433,57404,10.0
434,57489,1.0
435,57504,8.0
436,57561,7.0
437,57859,
438,57901,8.0
439,58019,10.0
440,58026,10.0
441,58164,10.0
442,58168,7.0
443,58208,3.0
444,58338,10.0
445,58383,8.0
446,58385,9.0
447,58387,8.0
448,58430,10.0
449,58501,10.0
450,58515,10.0
451,58725,10.0
452,58944,10.0
453,59189,10.0
454,59202,10.0
455,59203,10.0
456,59372,9.0
457,59394,9.0
458,59522,3.0
459,59523,4.0
460,59582,9.0
461,59590,10.0
462,59833,10.0
463,59860,9.0
464,59911,10.0
465,60051,9.0
466,60089,8.0
467,60340,1.0
468,60468,5.0
469,60523,3.0
470,60891,
471,60962,7.0
472,61273,8.0
473,61496,5.0
474,61538,10.0
475,61551,9.0
476,61599,7.0
477,61679,7.0
478,62073,9.0
479,62093,2.0
480,62256,7.0
481,62327,10.0
482,62393,7.0
483,62559,10.0
