,0
1051,4
1052,69
1053,12
1054,8
1055,0
1056,2
1057,5
1058,67
1059,7
1060,42
1061,8
1062,64
1063,3
1064,18
1065,2
1066,914
1067,15
1068,2
1069,539
1070,6
1071,18
1072,0
1073,1
1074,10
1075,82
1076,7
1077,14
1078,1
1079,5
1080,3
1081,0
1082,6
1083,4
1084,5
1085,19
1086,0
1087,9
1088,12
1089,5
1090,1
1091,63
1092,2
1093,16
1094,4
1095,1
1096,5
1097,4
1098,14
1099,29
1100,1
1101,7
1102,1
1103,26
1104,2
1105,1
1106,49
1107,3
1108,182
1109,23
1110,12
1111,20
1112,8
1113,16
1114,58
1115,231
1116,17
1117,269
1118,12
1119,3
1120,1
1121,4
1122,9
1123,3
1124,65
1125,2
1126,3
1127,11
1128,15
1129,4
1130,1
1131,15
1132,0
1133,15
1134,6
1135,5
1136,1
1137,10
1138,0
1139,2
1140,1
1141,3
1142,83
1143,0
1144,1
1145,4
1146,10
1147,1
1148,54
1149,7
1150,4
1151,16
1152,23
1153,4
1154,2
1155,0
1156,3
1157,16
1158,3
1159,6
1160,2
1161,5
1162,25
1163,22
1164,28
1165,5
1166,20
1167,31
1168,3
1169,3
1170,19
1171,1
1172,6
1173,1
1174,8
1175,21
1176,1
1177,27
1178,0
1179,19
1180,1
1181,16
1182,1
1183,37
1184,8
1185,1
1186,1
1187,4
1188,3
1189,1
1190,0
1191,0
1192,3
1193,3
1194,10
1195,24
1196,2
1197,8
1198,2
1199,3
1200,11
1201,21
1202,7
1203,5
1204,5
1205,3
1206,9
1207,75
1208,8
1209,33
1210,4
1211,7
1212,8
1213,2
1214,3
1215,1
1216,7
1217,4
1218,8
1219,3
1220,55
1221,5
1222,4
1223,5
1224,14
1225,2
1226,1
1227,2
1228,20
1229,42
1230,4
1231,1
1232,1
1233,38
1234,19
1235,35
1236,4
1237,6
1238,41
1239,4
1240,7
1241,3
1242,3
1243,4
1244,1
1245,20
1246,46
1247,132
1248,1
1249,1
1250,0
1251,4
1252,9
1253,3
1254,0
1255,12
1256,14
1257,8
1258,25
1259,3
1260,1
1261,13
1262,779
1263,6
1264,9
1265,54
1266,11
1267,1
1268,0
1269,8
1270,8
1271,10
1272,0
1273,13
1274,40
1275,10
1276,2
1277,3
1278,1
1279,2
1280,6
1281,1
1282,10
1283,2
1284,1
1285,8
1286,1
1287,45
1288,3
1289,11
1290,19
1291,2
1292,173
1293,5
1294,39
1295,8
1296,61
1297,28
1298,2
1299,9
1300,9
1301,1
1302,21
1303,25
1304,38
1305,46
1306,55
1307,0
1308,1
1309,0
1310,6
1311,0
1312,3
1313,9
1314,10
1315,1
1316,39
1317,1
1318,7
1319,7
1320,7
1321,11
1322,0
1323,5
1324,23
1325,3
1326,2
1327,3
1328,28
1329,31
1330,1
1331,3
1332,46
1333,22
1334,4
1335,50
1336,17
1337,4
1338,14
1339,0
1340,326
1341,64
1342,5
1343,29
1344,5
1345,0
1346,38
1347,12
1348,0
1349,8
1350,15
1351,17
1352,25
1353,17
1354,0
1355,0
1356,71
1357,14
1358,29
1359,18
1360,110
1361,14
1362,56
1363,19
1364,20
1365,1
1366,75
1367,4
1368,0
1369,4
1370,3
1371,10
1372,2
1373,5
1374,6
1375,100
1376,43
1377,10
1378,6
1379,4
1380,7
1381,7
1382,1
1383,1
1384,21
1385,30
1386,12
1387,32
1388,5
1389,7
1390,4
1391,11
1392,12
1393,10
1394,3
1395,58
1396,2
1397,4
1398,1
1399,6
1400,20
1401,32
1402,2
1403,3
1404,11
1405,2
1406,21
1407,0
1408,3
1409,8
1410,5
1411,10
1412,2
1413,5
1414,15
1415,14
1416,2
1417,4
1418,6
1419,14
1420,26
1421,13
1422,7
1423,1
1424,55
1425,29
1426,19
1427,0
1428,11
1429,2
1430,5
1431,22
1432,4
1433,5
1434,33
1435,15
1436,8
1437,24
1438,3
1439,5
1440,0
1441,21
1442,26
1443,1
