,0
1186,0
1187,13
1188,6
1189,4
1190,0
1191,0
1192,1
1193,2
1194,11
1195,12
1196,5
1197,8
1198,10
1199,25
1200,11
1201,10
1202,7
1203,3
1204,3
1205,1
1206,17
1207,14
1208,8
1209,35
1210,1
1211,4
1212,10
1213,2
1214,4
1215,0
1216,7
1217,6
1218,9
1219,1
1220,39
1221,8
1222,1
1223,9
1224,0
1225,20
1226,1
1227,97
1228,4
1229,15
1230,1
1231,0
1232,2
1233,13
1234,14
1235,12
1236,5
1237,5
1238,5
1239,4
1240,6
1241,6
1242,5
1243,4
1244,0
1245,13
1246,18
1247,25
1248,1
1249,16
1250,2
1251,2
1252,0
1253,5
1254,18
1255,7
1256,2
1257,3
1258,15
1259,1
1260,0
1261,6
1262,181
1263,8
1264,2
1265,53
1266,20
1267,1
1268,0
1269,24
1270,10
1271,3
1272,0
1273,4
1274,31
1275,2
1276,1
1277,2
1278,0
1279,1
1280,0
1281,3
1282,2
1283,0
1284,8
1285,5
1286,2
1287,12
1288,4
1289,5
1290,37
1291,16
1292,26
1293,0
1294,29
1295,1
1296,9
1297,10
1298,3
1299,6
1300,60
1301,8
1302,2
1303,12
1304,13
1305,123
1306,22
1307,0
1308,3
1309,1
1310,14
1311,0
1312,4
1313,3
1314,16
1315,2
1316,20
1317,0
1318,3
1319,9
1320,5
1321,9
1322,0
1323,24
1324,1
1325,1
1326,2
1327,13
1328,16
1329,5
1330,1
1331,3
1332,33
1333,33
1334,4
1335,20
1336,13
1337,1
1338,4
1339,6
1340,22
1341,46
1342,3
1343,10
1344,23
1345,0
1346,24
1347,5
1348,0
1349,6
1350,48
1351,23
1352,12
1353,7
1354,0
1355,2
1356,18
1357,11
1358,32
1359,5
1360,189
1361,7
1362,22
1363,4
1364,10
1365,0
1366,24
1367,5
1368,0
1369,1
1370,4
1371,20
1372,10
1373,15
1374,0
1375,53
1376,11
1377,35
1378,6
1379,5
1380,0
1381,20
1382,2
1383,4
1384,5
1385,14
1386,5
1387,8
1388,3
1389,7
1390,2
1391,18
1392,13
1393,22
1394,3
1395,30
1396,1
1397,15
1398,1
1399,5
1400,4
1401,10
1402,0
1403,3
1404,12
1405,8
1406,14
1407,1
1408,5
1409,16
1410,3
1411,3
1412,1
1413,1
1414,7
1415,11
1416,2
1417,9
1418,7
1419,0
1420,7
1421,10
1422,3
1423,1
1424,30
1425,18
1426,13
1427,0
1428,7
1429,2
1430,8
1431,16
1432,5
1433,4
1434,40
1435,12
1436,11
1437,32
1438,2
1439,9
1440,2
1441,25
1442,7
1443,2
1444,1
1445,7
1446,4
1447,4
1448,2
1449,5
1450,5
1451,19
1452,43
1453,16
1454,62
1455,2
1456,105
1457,45
1458,23
1459,2
1460,7
1461,1
1462,16
1463,0
1464,1
1465,15
1466,5
1467,4
1468,5
1469,14
1470,3
1471,18
1472,15
1473,0
1474,3
1475,1
1476,12
1477,81
1478,23
1479,76
1480,40
1481,6
1482,3
1483,5
1484,17
1485,5
1486,2
1487,8
1488,1
1489,5
1490,10
1491,2
1492,2
1493,9
1494,11
1495,24
1496,0
1497,69
1498,11
1499,4
1500,0
1501,13
1502,9
1503,20
1504,34
1505,69
1506,12
1507,3
1508,15
1509,8
1510,6
1511,10
1512,6
1513,49
1514,0
1515,51
1516,14
1517,7
1518,17
1519,10
1520,61
1521,7
1522,5
1523,24
1524,1
1525,28
1526,0
1527,3
1528,37
1529,5
1530,2
1531,0
1532,1
1533,11
1534,108
1535,0
1536,0
1537,7
1538,31
1539,3
1540,1
1541,1
1542,29
1543,3
1544,2
1545,1
1546,5
1547,5
1548,15
1549,59
1550,34
1551,29
1552,3
1553,9
1554,13
1555,42
1556,36
1557,12
1558,19
1559,1
1560,33
1561,5
1562,13
1563,4
1564,1
1565,6
1566,12
1567,7
1568,19
1569,1
1570,70
1571,8
1572,17
1573,21
1574,1
1575,7
1576,4
1577,0
1578,1
1579,2
1580,14
1581,12
1582,21
1583,15
1584,41
1585,2
1586,21
1587,64
1588,23
1589,17
1590,14
1591,21
1592,7
1593,16
1594,4
1595,3
1596,16
1597,56
1598,1
1599,1
1600,0
1601,5
1602,2
1603,5
1604,8
1605,13
1606,33
1607,1
1608,10
1609,51
1610,0
1611,3
1612,0
1613,2
1614,67
1615,1
1616,7
1617,4
1618,15
1619,3
1620,5
1621,2
1622,7
1623,5
1624,8
1625,16
1626,11
1627,26
1628,9
1629,10
1630,13
1631,9
1632,25
1633,2
1634,55
1635,4
1636,19
1637,6
1638,20
1639,20
1640,0
1641,0
1642,45
1643,44
1644,29
1645,8
1646,7
1647,0
1648,1
1649,8
1650,42
1651,6
1652,31
1653,0
1654,6
1655,1
1656,2
1657,2
1658,0
1659,3
1660,2
1661,13
1662,7
1663,1
1664,17
1665,0
1666,53
1667,13
1668,6
1669,9
1670,8
1671,5
1672,65
1673,17
1674,7
1675,0
1676,2
1677,2
1678,1
1679,2
1680,1
1681,2
1682,37
1683,32
1684,10
1685,5
1686,23
1687,7
1688,4
1689,1
1690,13
1691,64
1692,44
1693,15
1694,0
1695,1
1696,18
1697,6
1698,3
1699,10
1700,10
1701,3
1702,9
1703,11
1704,9
1705,0
1706,13
1707,19
1708,71
1709,0
1710,1
1711,10
1712,6
1713,45
1714,25
1715,1
1716,6
1717,7
1718,33
1719,3
1720,1
1721,12
1722,6
1723,24
1724,93
1725,12
1726,33
1727,3
1728,0
1729,13
1730,2
1731,10
1732,0
1733,275
1734,24
1735,18
1736,2
1737,44
1738,14
1739,3
1740,2
1741,8
1742,0
1743,10
1744,45
1745,9
1746,18
1747,10
1748,13
1749,7
1750,4
1751,2
1752,19
1753,9
1754,20
1755,7
1756,5
1757,165
1758,15
1759,5
1760,23
1761,3
1762,6
1763,1
1764,7
1765,87
1766,49
1767,15
1768,8
1769,4
1770,18
1771,5
1772,1
1773,15
1774,6
1775,4
1776,3
1777,4
1778,8
1779,22
1780,2
1781,26
1782,13
1783,26
1784,2
1785,4
1786,37
1787,5
1788,22
1789,4
1790,10
1791,4
1792,19
1793,1
1794,2
1795,1
1796,2
1797,3
1798,3
1799,15
1800,88
1801,4
1802,10
1803,23
1804,12
1805,0
1806,34
1807,13
1808,10
1809,14
1810,20
1811,0
1812,39
1813,0
1814,5
1815,2
1816,14
1817,6
1818,17
1819,11
1820,19
1821,6
1822,10
1823,2
1824,4
1825,3
1826,6
1827,84
1828,6
1829,12
1830,11
1831,8
1832,15
1833,1
1834,4
1835,73
1836,21
1837,39
1838,13
1839,17
1840,2
1841,104
1842,8
1843,11
1844,13
1845,4
1846,14
1847,10
1848,16
1849,9
1850,77
1851,1
1852,15
1853,12
1854,0
1855,38
1856,3
1857,3
1858,19
1859,1
1860,2
1861,67
1862,3
1863,4
1864,6
1865,0
1866,2
1867,2
1868,2
1869,16
1870,60
1871,7
1872,4
1873,10
1874,8
1875,7
1876,19
1877,13
1878,4
1879,16
1880,15
1881,18
1882,5
1883,0
1884,2
1885,11
1886,31
1887,4
1888,46
1889,1
1890,3
1891,2
1892,6
1893,13
1894,0
1895,9
1896,11
1897,5
1898,5
1899,26
1900,0
1901,43
1902,2
1903,6
1904,16
1905,2
1906,24
1907,35
1908,19
1909,10
1910,30
1911,17
1912,11
1913,4
1914,7
1915,0
1916,10
1917,8
1918,5
1919,20
1920,120
1921,0
1922,3
1923,18
1924,62
1925,1
1926,0
1927,12
1928,10
1929,21
1930,7
1931,6
1932,4
1933,3
1934,31
1935,12
1936,6
1937,6
1938,12
1939,7
1940,20
1941,2
1942,0
1943,1
1944,190
1945,5
1946,5
1947,1
1948,31
1949,21
1950,4
1951,1
1952,6
1953,5
1954,4
1955,5
1956,14
1957,11
1958,7
1959,60
1960,1
1961,9
1962,12
1963,27
1964,51
1965,4
1966,6
1967,13
1968,7
1969,15
1970,42
1971,61
1972,26
1973,3
1974,7
1975,6
1976,12
1977,32
1978,22
1979,12
1980,8
1981,72
1982,31
1983,8
1984,9
1985,4
1986,12
1987,11
1988,14
1989,2
1990,1
1991,10
1992,34
1993,9
1994,14
1995,2
1996,9
1997,64
1998,8
1999,12
2000,26
2001,7
2002,1
2003,7
2004,9
2005,11
2006,17
2007,0
2008,4
2009,1
2010,3
2011,2
2012,48
2013,16
2014,5
2015,28
2016,6
2017,8
2018,10
2019,0
2020,8
2021,9
2022,41
2023,12
2024,13
2025,2
2026,25
2027,1
2028,4
2029,9
2030,27
2031,17
2032,35
2033,2
2034,30
2035,133
2036,4
2037,1
2038,2
2039,17
2040,5
2041,30
2042,24
2043,17
2044,3
2045,12
2046,11
2047,228
2048,0
2049,8
2050,0
2051,2
2052,24
2053,3
2054,5
2055,16
2056,12
2057,23
2058,26
2059,73
2060,20
2061,18
2062,70
2063,2
2064,3
2065,0
2066,41
2067,34
2068,20
2069,5
2070,64
2071,73
2072,15
2073,6
2074,45
2075,18
2076,0
2077,8
2078,19
2079,26
2080,36
2081,0
2082,31
2083,28
2084,83
2085,21
2086,4
2087,21
2088,2
2089,52
2090,36
2091,1
2092,3
2093,6
2094,37
2095,5
2096,15
2097,25
2098,22
2099,9
2100,40
2101,10
2102,22
2103,10
2104,6
2105,1
2106,20
2107,3
2108,7
2109,3
2110,4
2111,9
2112,12
2113,0
2114,1
2115,1
2116,27
2117,19
2118,7
2119,9
2120,42
2121,2
2122,7
2123,3
2124,8
2125,29
2126,52
2127,7
2128,23
2129,15
2130,0
2131,0
2132,44
2133,11
2134,25
2135,81
2136,4
2137,10
2138,9
2139,41
2140,12
2141,6
2142,12
2143,1
2144,13
2145,71
2146,0
2147,6
2148,28
2149,20
2150,25
2151,16
2152,11
2153,31
2154,7
2155,35
2156,14
2157,46
2158,9
2159,15
2160,8
2161,1
2162,3
2163,28
2164,13
2165,4
2166,8
2167,70
2168,2
2169,33
2170,50
2171,6
2172,20
2173,14
2174,4
2175,78
2176,15
2177,5
2178,3
2179,46
2180,24
2181,5
2182,8
2183,2
2184,9
2185,8
2186,36
2187,45
2188,31
2189,26
2190,16
2191,15
2192,5
2193,17
2194,42
2195,4
2196,21
2197,40
2198,1
2199,1
2200,57
2201,21
2202,30
2203,2
2204,17
2205,9
2206,1
2207,23
2208,22
2209,8
2210,6
2211,4
2212,0
